discipline,element_type
dp_hoone,NaN
dp_hoone,elamumaa
dp_hoone,ärimaa
dp_hoone,kaubandus
dp_hoone,haridus
dp_hoone,tööstus
dp_hoone,põllumajandus
dp_hoone,metsandus
dp_hoone,lähiajalooline
dp_hoone,tehnotaristu
dp_hoonestus,maapealne
dp_hoonestus,maa_alune
dp_hoonestus,sissepääs
dp_hoonestus,terrass
dp_hoonestus,katus
dp_hoonestus,vundament
dp_hoonestus,varikatus
dp_hoonestus,sokkel
dp_hoonestus,piirdeaed
dp_hoonestus,sillutis
dp_transp,NaN
dp_transp,teed
dp_transp,sild
dp_transp,raudtee
dp_transp,jalgrattatee
dp_transp,tänav
dp_transp,ristmik
dp_transp,parkla
dp_transp,peatänav
dp_transp,kaarsild
dp_haljastus,NaN
dp_haljastus,pargid
dp_haljastus,rohealad
dp_haljastus,spordivaljak
dp_haljastus,lasteplats
dp_haljastus,mänguväljak
dp_haljastus,koertepark
dp_haljastus,haljastus
dp_haljastus,rannaala
dp_haljastus,metssalu
dp_krunt,NaN
dp_krunt,elamumaa
dp_krunt,ärimaa
dp_krunt,maatulundusmaa
dp_krunt,metsamaa
dp_krunt,põllumaa
dp_krunt,rekreatsioonimaa
dp_krunt,sotsiaalmaa
dp_krunt,elamuehituseks
dp_krunt,arendusalad
dp_krundiSihtotstarve,elamumaa
dp_krundiSihtotstarve,ärimaa
dp_krundiSihtotstarve,rekreatsioonimaa
dp_krundiSihtotstarve,muud
dp_krundiSihtotstarve,elamumaa
dp_krundiSihtotstarve,ärimaa
dp_krundiSihtotstarve,rekreatsioonimaa
dp_krundiSihtotstarve,muud
dp_krundiSihtotstarve,elamumaa
dp_krundiSihtotstarve,ärimaa
dp_servituut,NaN
dp_servituut,krundi_tänav
dp_servituut,krundi_tänav
dp_servituut,NaN
dp_servituut,krundi_tänav
dp_servituut,NaN
dp_servituut,krundi_tänav
dp_servituut,NaN
dp_servituut,krundi_tänav
dp_servituut,NaN
dp_sund,NaN
dp_sund,eraldis
dp_sund,eraldis
dp_sund,NaN
dp_sund,eraldis
dp_sund,NaN
dp_sund,eraldis
dp_sund,NaN
dp_sund,eraldis
dp_sund,NaN
dp_tehno,NaN
dp_tehno,side
dp_tehno,elektri
dp_tehno,gaas
dp_tehno,veevärk
dp_tehno,kanalisatsioon
dp_tehno,jahutus
dp_tehno,soojus
dp_tehno,ventilatsioon
dp_tehno,valgus
dp_tingimus,NaN
dp_tingimus,ehituskeeluala
dp_tingimus,metsa
dp_tingimus,parkmets
dp_tingimus,haljastus
dp_tingimus,looduskaitse
dp_tingimus,mälestised
dp_tingimus,muinsuskaitse
dp_tingimus,miljöö
dp_tingimus,piirkond
dp_vaartloodus,NaN
dp_vaartloodus,kaitseala
dp_vaartloodus,rahvuspark
dp_vaartloodus,looduskaitseala
dp_vaartloodus,maastikukaitseala
dp_vaartloodus,hoiuala
dp_vaartloodus,looduspark
dp_vaartloodus,maastik
dp_vaartloodus,läänemaa
dp_vaartloodus,lahemaa
dp_vaartMiljoo,NaN
dp_vaartMiljoo,kultuuriväärtus
dp_vaartMiljoo,miljööväärtus
dp_vaartMiljoo,ajaloomälestis
dp_vaartMiljoo,muinsuskaitseala
dp_vaartMiljoo,rahvusväärtus
dp_vaartMiljoo,kaitsealune
dp_vaartMiljoo,pärand
dp_vaartMiljoo,kultuurikaitse
